name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
Ecom Express,Logistics | Gurgaon / Gurugram +752 other locations,4.0,4.6k,Work Life Balance | Company Culture | Work Satisfaction,Job Security
Nagarro,IT Services & Consulting | Gurgaon / Gurugram +48 other locations,3.9,4.6k,Company Culture | Work Life Balance,Promotions / Appraisal
Amdocs,Software Product | Pune +22 other locations,3.7,4.6k,Company Culture,Promotions / Appraisal | Work Satisfaction | Job Security
Home Credit Finance,NBFC | Gurgaon / Gurugram +134 other locations,4.0,4.5k,Work Life Balance | Company Culture | Skill Development / Learning,Promotions / Appraisal
JBM Group,Auto Components | Gurgaon / Gurugram +108 other locations,3.9,4.5k,Job Security | Skill Development / Learning,Promotions / Appraisal
KEC International,Engineering & Construction | Mumbai +307 other locations,4.0,4.5k,Job Security | Salary & Benefits | Company Culture,Promotions / Appraisal
Piramal Capital Housing Finance,NBFC | Mumbai +378 other locations,4.2,4.4k,Company Culture | Skill Development / Learning | Salary & Benefits,
Varun Beverages,Beverage | New Delhi +367 other locations,4.0,4.4k,Job Security | Skill Development / Learning,Promotions / Appraisal
Bosch,Auto Components | Bangalore / Bengaluru +122 other locations,4.2,4.4k,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
Hewlett Packard Enterprise,IT Services & Consulting | Bangalore / Bengaluru +103 other locations,4.1,4.4k,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
OPPO,Consumer Electronics & Appliances | Greater Noida +398 other locations,3.9,4.3k,Skill Development / Learning,Promotions / Appraisal | Job Security
EY Global Delivery Services ( EY GDS),Accounting & Auditing | Bangalore / Bengaluru +54 other locations,3.5,4.3k,Job Security,Promotions / Appraisal | Work Satisfaction | Work Life Balance
Mahindra Logistics,Logistics | Mumbai +231 other locations,3.7,4.3k,,Promotions / Appraisal | Salary & Benefits
Dell,Consumer Electronics & Appliances | Bangalore / Bengaluru +116 other locations,3.8,4.3k,Work Life Balance | Company Culture,Promotions / Appraisal | Job Security
ITC Infotech,IT Services & Consulting | Bangalore / Bengaluru +66 other locations,3.7,4.3k,Work Life Balance,Promotions / Appraisal | Salary & Benefits
Aditya Birla Fashion and Retail,Fashion & Textile | Bangalore / Bengaluru +281 other locations,4.1,4.3k,Job Security | Skill Development / Learning | Company Culture,
L&T Finance,NBFC | Mumbai +607 other locations,3.9,4.2k,Salary & Benefits,Promotions / Appraisal
Randstad,Recruitment | Hyderabad / Secunderabad +339 other locations,3.7,4.2k,,Promotions / Appraisal | Job Security | Work Satisfaction
CARS24,Internet | Gurgaon / Gurugram +171 other locations,3.5,4.2k,,Job Security | Promotions / Appraisal | Company Culture
R1 RCM,BPO | New Delhi +45 other locations,3.8,4.2k,Job Security,Promotions / Appraisal
Intas Pharmaceuticals,Pharma | Ahmedabad +144 other locations,4.1,4.2k,Job Security | Salary & Benefits | Work Life Balance,
Hyundai Motor India Limited,Automobile | Chennai +282 other locations,4.2,4.2k,Job Security | Salary & Benefits | Company Culture,
Havells,Electrical Equipment | Noida +245 other locations,3.9,4.2k,Work Life Balance | Salary & Benefits,Promotions / Appraisal
Deutsche Bank,Banking | Pune +42 other locations,3.9,4.1k,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal
Utkarsh Small Finance Bank,Banking | Varanasi +387 other locations,3.7,4.1k,,Promotions / Appraisal | Company Culture | Work Satisfaction
Tata AIA Life Insurance,Insurance | Mumbai +421 other locations,3.9,4.1k,Job Security | Skill Development / Learning | Salary & Benefits,
Hetero,Pharma | Hyderabad / Secunderabad +64 other locations,3.8,4.1k,Job Security,Promotions / Appraisal | Salary & Benefits
Motilal Oswal Financial Services,Financial Services | Mumbai +164 other locations,3.7,4k,Skill Development / Learning,Work Satisfaction | Promotions / Appraisal
